# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     93     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     93     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0    174     64     74     18      4      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0    251     64     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     94     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     73     17     18      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
    0     94     63     73      0      0      0      0      0      0   1512   1410 
